name,description,source,url
Circular N° 54 del 27 de Diciembre del 2024,Informa tabla de cálculos de reajustes y multas para el mes de enero 2025.,Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu54.pdf
Circular N° 53 del 19 de Diciembre del 2024,"Imparte instrucciones en materias tributarias sobre el régimen de donaciones en apoyo a las entidades sin fines de lucro establecido en el Título VIII bis del Decreto Ley N° 3.063 de 1979, sobre Rentas Municipales; las donaciones efectuadas en conformidad con el artículo 69 de la Ley N° 18.681; y las donaciones efectuadas en conformidad con lo dispuesto en el artículo 68 de la Ley N° 19.300. Modifica Circular N° 24 de 1993 y deja sin efecto Circular N° 49 de 2022.",Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu53.pdf
Circular N° 52 del 09 de Diciembre del 2024,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de diciembre de 2024 y el 9 de enero de 2025, ambos inclusive",Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu52.pdf
Circular N° 51 del 09 de Diciembre del 2024,Tablas de impuesto único de segunda categoría para el mes de enero de 2025 e información adicional relacionada con dicho tributo,Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu51.pdf
Circular N° 50 del 28 de Noviembre del 2024,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 al artículo 9 de la Ley N° 21.420. Deja sin efecto las Circulares N° 57 de 2022 y N° 38 de 2023.,Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu50.pdf
Circular N° 49 del 21 de Noviembre del 2024,"Imparte instrucciones sobre el sistema de declaración voluntaria y extraordinaria para el pago del impuesto único y sustitutivo establecido en el artículo undécimo transitorio de la Ley N° 21.713, modificado por la Ley N° 21.716.",Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu49.pdf
Circular N° 48 del 14 de Noviembre del 2024,"Tabla de cálculos de reajustes, intereses y multas diciembre 2024.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu48.pdf
Circular N° 47 del 11 de Noviembre del 2024,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de noviembre de 2024 y el 9 de diciembre de 2024, ambos inclusive.",Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu47.pdf
Circular N° 46 del 11 de Noviembre del 2024,Tablas de impuesto único de segunda categoría para el mes de diciembre de 2024 e información adicional relacionada con dicho tributo.,Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu46.pdf
Circular N° 45 del 25 de Octubre del 2024,Informa entrada en vigencia de diversas modificaciones introducidas por la Ley N° 21.713.,Fuente: Subdirección Normativa,https://www.sii.cl/normativa_legislacion/circulares/2024/circu45.pdf
Circular N° 44 del 10 de Octubre del 2024,"Tabla de cálculos de reajustes, intereses y multas noviembre 2024.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu44.pdf
Circular N° 43 del 10 de Octubre del 2024,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de octubre de 2024 y el 9 de noviembre de 2024, ambos inclusive.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu43.pdf
Circular N° 42 del 10 de Octubre del 2024,Tablas de impuesto único de segunda categoría para el mes de noviembre de 2024 e información adicional relacionada con dicho tributo.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu42.pdf
Circular N° 41 del 11 de Septiembre del 2024,"Tabla de cálculos de reajustes, intereses y multas octubre 2024.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu41.pdf
Circular N° 40 del 11 de Septiembre del 2024,Tablas de impuesto único de segunda categoría para el mes de octubre de 2024 e información adicional relacionada con dicho tributo.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu40.pdf
Circular N° 39 del 11 de Septiembre del 2024,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de septiembre de 2024 y el 9 de octubre de 2024, ambos inclusive.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu39.pdf
Circular N° 38 del 09 de Agosto del 2024,"Tabla de cálculos de reajustes, intereses y multas septiembre 2024.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu38.pdf
Circular N° 37 del 09 de Agosto del 2024,Tablas de impuesto único de segunda categoría para el mes de septiembre de 2024 e información adicional relacionada con dicho tributo.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu37.pdf
Circular N° 36 del 09 de Agosto del 2024,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de agosto de 2024 y el 9 de septiembre de 2024, ambos inclusive.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu36.pdf
Circular N° 35 del 01 de Agosto del 2024,"Modifica la Circular N° 22 de 2014, que imparte instrucciones sobre el tratamiento tributario de las donaciones que se efectúen al Fondo Nacional de Reconstrucción conforme a la Ley N° 20.444. Deja sin efecto la Circular N° 44 de 2010.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu35.pdf
Circular N° 34 del 30 de Julio del 2024,"Imparte instrucciones sobre aplicación del régimen opcional de impuesto sustitutivo de los impuestos finales establecido en los artículos 10 y 11 de la Ley N° 21.681, que crea el Fondo de Emergencia Transitorio por Incendios y establece otras medidas para la reconstrucción.",Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu34.pdf
Circular N° 33 del 26 de Julio del 2024,Deja sin efecto lo instruido en la Circular N° 11 de 2024.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu33.pdf
Circular N° 32 del 19 de Julio del 2024,Imparte instrucciones sobre la exención temporal de impuesto de timbres y estampillas a los créditos con garantía hipotecaria establecida en el artículo 6° de la Ley N° 21.673.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu32.pdf
Circular N° 31 del 12 de Julio del 2024,Suspende provisionalmente lo instruido en la Circular N° 11 de 2024.,Fuente: Subdirección Normativa.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu31.pdf
Circular N° 30 del 10 de Julio del 2024,"Tabla de cálculos de reajustes, intereses y multas agosto 2024.",Fuente: Subdirección de Fiscalización.,https://www.sii.cl/normativa_legislacion/circulares/2024/circu30.pdf
