nombre,repeticiones
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,7
Circular N° 33 del 17 de Abril del 2025,1
Resolución Exenta SII N° 77 del 26 de Junio del 2025,1
Resolución Exenta SII N° 79 del 26 de Junio del 2025,1
